 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  13:47: 4
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05 -0.7561E-05  0.0000E+00      -1  -0.154E-05   20.00
   2   -10.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05 -0.7561E-05  0.0000E+00      -1  -0.154E-05   20.00
   3   -20.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05 -0.7561E-05  0.0000E+00      -1  -0.154E-05   20.00
   4   -30.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05 -0.7561E-05  0.0000E+00      -1  -0.154E-05   20.00
   5   -40.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05 -0.7561E-05  0.0000E+00      -1  -0.154E-05   20.00
   6   -50.0000  -10921.710 0.3815   0.7561E-05  0.5383E-05  0.6093E-02  0.0000E+00      -1   0.124E-02   20.00
   7   -60.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04  0.6076E-02  0.0000E+00      -1   0.124E-02   20.00
   8   -70.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
   9   -80.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
  10   -90.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
  11  -100.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
  12  -110.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
  13  -120.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
  14  -130.0000   -5787.644 0.3814   0.4003E-04  0.1151E-04 -0.4003E-04  0.0000E+00      -1  -0.817E-05   20.00
