 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  15:42:12
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05 -0.8938E-05  0.0000E+00      -1  -0.142E-04   20.00
   2   -10.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05 -0.8938E-05  0.0000E+00      -1  -0.142E-04   20.00
   3   -20.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05 -0.8938E-05  0.0000E+00      -1  -0.142E-04   20.00
   4   -30.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05 -0.8938E-05  0.0000E+00      -1  -0.142E-04   20.00
   5   -40.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05 -0.8938E-05  0.0000E+00      -1  -0.142E-04   20.00
   6   -50.0000   -6656.088 0.3695   0.8938E-05  0.9999E-05  0.5159E-03  0.0000E+00      -1   0.819E-03   20.00
   7   -60.0000   -5967.179 0.3692   0.2172E-04  0.1131E-04  0.6762E-03  0.0000E+00      -1   0.107E-02   20.00
   8   -70.0000   -5819.717 0.3711   0.2363E-04  0.1172E-04  0.3190E-03  0.0000E+00      -1   0.506E-03   20.00
   9   -80.0000   -5676.797 0.3729   0.2548E-04  0.1212E-04  0.3330E-03  0.0000E+00      -1   0.529E-03   20.00
  10   -90.0000   -5538.089 0.3746   0.2728E-04  0.1251E-04  0.3450E-03  0.0000E+00      -1   0.548E-03   20.00
  11  -100.0000   -5403.603 0.3763   0.2902E-04  0.1289E-04  0.3553E-03  0.0000E+00      -1   0.564E-03   20.00
  12  -110.0000   -5273.025 0.3779   0.3071E-04  0.1326E-04  0.3640E-03  0.0000E+00      -1   0.578E-03   20.00
  13  -120.0000   -5146.368 0.3795   0.3235E-04  0.1362E-04  0.3712E-03  0.0000E+00      -1   0.589E-03   20.00
  14  -130.0000   -5023.343 0.3810   0.3395E-04  0.1396E-04  0.3773E-03  0.0000E+00      -1   0.599E-03   20.00
