 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:14:20
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04 -0.8024E-05  0.0000E+00      -1  -0.160E-04   20.00
   2   -10.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04 -0.8024E-05  0.0000E+00      -1  -0.160E-04   20.00
   3   -20.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04 -0.8024E-05  0.0000E+00      -1  -0.160E-04   20.00
   4   -30.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04 -0.8024E-05  0.0000E+00      -1  -0.160E-04   20.00
   5   -40.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04 -0.8024E-05  0.0000E+00      -1  -0.160E-04   20.00
   6   -50.0000   -6264.456 0.3732   0.8024E-05  0.1066E-04  0.5357E-03  0.0000E+00      -1   0.107E-02   20.00
   7   -60.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04  0.5266E-03  0.0000E+00      -1   0.105E-02   20.00
   8   -70.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
   9   -80.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
  10   -90.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
  11  -100.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
  12  -110.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
  13  -120.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
  14  -130.0000   -5623.180 0.3735   0.2618E-04  0.1227E-04 -0.2618E-04  0.0000E+00      -1  -0.524E-04   20.00
