 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  16: 1:16
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04 -0.3655E-05  0.0000E+00      -1  -0.245E-03   20.00
   2   -10.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04 -0.3655E-05  0.0000E+00      -1  -0.245E-03   20.00
   3   -20.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04 -0.3655E-05  0.0000E+00      -1  -0.245E-03   20.00
   4   -30.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04 -0.3655E-05  0.0000E+00      -1  -0.245E-03   20.00
   5   -40.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04 -0.3655E-05  0.0000E+00      -1  -0.245E-03   20.00
   6   -50.0000   -2220.445 0.4506   0.3655E-05  0.3724E-04  0.1674E-02  0.0000E+00      -1   0.112E+00   20.00
   7   -60.0000   -2025.230 0.4504   0.3583E-03  0.4097E-04  0.5570E-03  0.0000E+00      -1   0.374E-01   20.00
   8   -70.0000   -2079.395 0.4484   0.3393E-03  0.3989E-04 -0.2204E-02  0.0000E+00      -1  -0.148E+00   20.00
   9   -80.0000   -2135.231 0.4463   0.3198E-03  0.3877E-04 -0.2130E-02  0.0000E+00      -1  -0.143E+00   20.00
  10   -90.0000   -2192.746 0.4441   0.2996E-03  0.3763E-04 -0.2047E-02  0.0000E+00      -1  -0.137E+00   20.00
  11  -100.0000   -2252.031 0.4419   0.2788E-03  0.3645E-04 -0.1955E-02  0.0000E+00      -1  -0.131E+00   20.00
  12  -110.0000   -2313.156 0.4396   0.2574E-03  0.3523E-04 -0.1853E-02  0.0000E+00      -1  -0.124E+00   20.00
  13  -120.0000   -2376.220 0.4372   0.2352E-03  0.3397E-04 -0.1747E-02  0.0000E+00      -1  -0.117E+00   20.00
  14  -130.0000   -2441.241 0.4349   0.2165E-03  0.3284E-04 -0.1662E-02  0.0000E+00      -1  -0.112E+00   20.00
