 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:18:19
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05 -0.4696E-05  0.0000E+00      -1  -0.939E-05   20.00
   2   -10.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05 -0.4696E-05  0.0000E+00      -1  -0.939E-05   20.00
   3   -20.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05 -0.4696E-05  0.0000E+00      -1  -0.939E-05   20.00
   4   -30.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05 -0.4696E-05  0.0000E+00      -1  -0.939E-05   20.00
   5   -40.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05 -0.4696E-05  0.0000E+00      -1  -0.939E-05   20.00
   6   -50.0000   -7666.053 0.3600   0.4696E-05  0.8291E-05  0.4045E-03  0.0000E+00      -1   0.809E-03   20.00
   7   -60.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05  0.3991E-03  0.0000E+00      -1   0.798E-03   20.00
   8   -70.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
   9   -80.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
  10   -90.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
  11  -100.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
  12  -110.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
  13  -120.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
  14  -130.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.311E-04   20.00
