 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:42:41
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05 -0.1203E-04  0.0000E+00      -1  -0.282E-05   20.00
   2   -10.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05 -0.1203E-04  0.0000E+00      -1  -0.282E-05   20.00
   3   -20.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05 -0.1203E-04  0.0000E+00      -1  -0.282E-05   20.00
   4   -30.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05 -0.1203E-04  0.0000E+00      -1  -0.282E-05   20.00
   5   -40.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05 -0.1203E-04  0.0000E+00      -1  -0.282E-05   20.00
   6   -50.0000   -8623.745 0.3955   0.1203E-04  0.7176E-05  0.7793E-02  0.0000E+00      -1   0.183E-02   20.00
   7   -60.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04  0.7765E-02  0.0000E+00      -1   0.182E-02   20.00
   8   -70.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
   9   -80.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
  10   -90.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
  11  -100.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
  12  -110.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
  13  -120.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
  14  -130.0000   -4698.986 0.3953   0.6766E-04  0.1476E-04 -0.6766E-04  0.0000E+00      -1  -0.159E-04   20.00
