 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:41:32
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05 -0.1802E-04  0.0000E+00      -1  -0.423E-05   20.00
   2   -10.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05 -0.1802E-04  0.0000E+00      -1  -0.423E-05   20.00
   3   -20.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05 -0.1802E-04  0.0000E+00      -1  -0.423E-05   20.00
   4   -30.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05 -0.1802E-04  0.0000E+00      -1  -0.423E-05   20.00
   5   -40.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05 -0.1802E-04  0.0000E+00      -1  -0.423E-05   20.00
   6   -50.0000   -7336.540 0.4054   0.1802E-04  0.8696E-05  0.9453E-02  0.0000E+00      -1   0.222E-02   20.00
   7   -60.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04  0.9413E-02  0.0000E+00      -1   0.221E-02   20.00
   8   -70.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
   9   -80.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
  10   -90.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
  11  -100.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
  12  -110.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
  13  -120.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
  14  -130.0000   -4070.852 0.4054   0.9824E-04  0.1757E-04 -0.9824E-04  0.0000E+00      -1  -0.231E-04   20.00
